web-scraper-order,web-scraper-start-url,title,title-href,reviews,price
1611929789-2589,https://www.daraz.pk/health-beauty-tools/?location=-178&page=79&price=100-700&rating=4,Skin Care Lovely Small Octopus Shape Silicone Facial Cleaning Brush Face and makeup Washing Brush Skin Care Deep Pore Cleaning Exfoliator manicure pedicure,https://www.daraz.pk/products/skin-care-lovely-small-octopus-shape-silicone-facial-cleaning-brush-face-and-makeup-washing-brush-skin-care-deep-pore-cleaning-exfoliator-manicure-pedicure-i127825139-s1286896459.html?search=1,-94,Rs. 240
1611929937-3547,https://www.daraz.pk/health-beauty-tools/?location=-178&page=55&price=100-700&rating=4,Mini Fluffy Hair Crimp Iron Ceramic Hair Straightener Iron Hair Crimper Small Corrugated Iron  Hairstyle,https://www.daraz.pk/products/mini-fluffy-hair-crimp-iron-ceramic-hair-straightener-iron-hair-crimper-small-corrugated-iron-hairstyle-i153070231-s1317714754.html?search=1,-94,Rs. 499
1611929937-3522,https://www.daraz.pk/health-beauty-tools/?location=-178&page=55&price=100-700&rating=4,Sofit Pack of 6 pieces Razor set for Womens under Arm - Platinum coated single edged Razor,https://www.daraz.pk/products/sofit-pack-of-6-pieces-razor-set-for-womens-under-arm-platinum-coated-single-edged-razor-i103952548-s1250250994.html?search=1,-92,Rs. 144
1611930122-4735,https://www.daraz.pk/health-beauty-tools/?location=-178&page=25&price=100-700&rating=4,Electronic Fast Hair Straightener Portable Mini Hair Flat Iron,https://www.daraz.pk/products/electronic-fast-hair-straightener-portable-mini-hair-flat-iron-i129867500-s1289675133.html?search=1,-92,Rs. 449
1611930073-4432,https://www.daraz.pk/health-beauty-tools/?location=-178&page=33&price=100-700&rating=4,6 pcs Ladies Womens Girls Shaver Trimmer Bikini Razor soft,https://www.daraz.pk/products/6-pcs-ladies-womens-girls-shaver-trimmer-bikini-razor-soft-i116914770-s1269184721.html?search=1,-91,Rs. 130
1611929820-2778,https://www.daraz.pk/health-beauty-tools/?location=-178&page=74&price=100-700&rating=4,AT Collections Silicone Gel Heel Pad Socks for Pain Relief - 1 Pair,https://www.daraz.pk/products/at-collections-silicone-gel-heel-pad-socks-for-pain-relief-1-pair-i121920662-s1277960093.html?search=1,-89,Rs. 175
1611929838-2918,https://www.daraz.pk/health-beauty-tools/?location=-178&page=71&price=100-700&rating=4,Hair Threading Machine,https://www.daraz.pk/products/hair-threading-machine-i112260402-s1263778101.html?search=1,-83,Rs. 350
1611930209-5307,https://www.daraz.pk/health-beauty-tools/?location=-178&page=11&price=100-700&rating=4,Nova 2 in 1 Hair Curler & Straightener - pink,https://www.daraz.pk/products/nova-2-in-1-hair-curler-straightener-pink-i123592427-s1280678483.html?search=1,-83,Rs. 699
1611929776-2501,https://www.daraz.pk/health-beauty-tools/?location=-178&page=81&price=100-700&rating=4,"5-in-1 Beauty Care Brush Massager Scrubber Face Skin Electric Facial Cleanser (Pink, White)",https://www.daraz.pk/products/5-in-1-beauty-care-brush-massager-scrubber-face-skin-electric-facial-cleanser-pink-white-i146034245-s1308608658.html?search=1,-83,Rs. 399
1611929820-2768,https://www.daraz.pk/health-beauty-tools/?location=-178&page=74&price=100-700&rating=4,Mini Hair Straightner And Straightener,https://www.daraz.pk/products/mini-hair-straightner-and-straightener-i132891776-s1293145583.html?search=1,-82,Rs. 425
1611930005-3969,https://www.daraz.pk/health-beauty-tools/?location=-178&page=44&price=100-700&rating=4,Derma Roller 0.50mm Skin Therapy Micro-Needle 540 For Acne Scars Wrinkles Stretch & Pores,https://www.daraz.pk/products/derma-roller-050mm-skin-therapy-micro-needle-540-for-acne-scars-wrinkles-stretch-pores-i114176583-s1265884749.html?search=1,-81,Rs. 210
1611930203-5278,https://www.daraz.pk/health-beauty-tools/?location=-178&page=12&price=100-700&rating=4,Skin Therapy 0.5 Derma Roller With 540 Micro Needle Roller for Men and Women Unisex,https://www.daraz.pk/products/skin-therapy-05-derma-roller-with-540-micro-needle-roller-for-men-and-women-unisex-i144556224-s1306062449.html?search=1,-80,Rs. 263
1611930104-4615,https://www.daraz.pk/health-beauty-tools/?location=-178&page=28&price=100-700&rating=4,6 Pcs Sofit Women's Razor Blade Hair Removal Disposable blade,https://www.daraz.pk/products/6-pcs-sofit-womens-razor-blade-hair-removal-disposable-blade-i143596361-s1304702678.html?search=1,-76,Rs. 115
1611929894-3247,https://www.daraz.pk/health-beauty-tools/?location=-178&page=62&price=100-700&rating=4,Electronic Fast Hair Straightener Portable Mini Hair Flat Iron,https://www.daraz.pk/products/electronic-fast-hair-straightener-portable-mini-hair-flat-iron-i117066114-s1269382692.html?search=1,-74,Rs. 549
1611929875-3131,https://www.daraz.pk/health-beauty-tools/?location=-178&page=65&price=100-700&rating=4,1 Pair Heel Socks Soft Silicone Spa Moisturizing Heel Skin Care Protector with Breathable Holes for Hard Callused Dry Cracked Skin Plantar Fasciitis Relieving Feet Pain,https://www.daraz.pk/products/1-pair-heel-socks-soft-silicone-spa-moisturizing-heel-skin-care-protector-with-breathable-holes-for-hard-callused-dry-cracked-skin-plantar-fasciitis-relieving-feet-pain-i123824770-s1281084967.html?search=1,-72,Rs. 175
